date,ons_modeled_pct_positive,reported_cases,reported_cases_7_day_mavg,ons_total_case_estimate
12/31/2021,7.800763466,"18,991",22104.28571,679934.6776
12/30/2021,8.13452702,"25,642",22482.42857,709026.3704
12/29/2021,8.470483799,"32,727",22794.14286,738309.2304
12/28/2021,8.78911352,"25,172",22236.85714,766081.8192
12/27/2021,9.063809791,"25,064",22991.14286,790025.0552
12/26/2021,9.264230591,"16,974",23594.28571,807494.2494
12/25/2021,9.360644262,"10,160",24083.71429,815897.9138
12/24/2021,9.328793375,"21,638",25839.42857,813121.7083
12/23/2021,9.154388438,"27,824",26216.42857,797920.1238
12/22/2021,8.83618268,"28,826",26085.28571,770184.4886
12/21/2021,8.386789149,"30,452",25936.85714,731014.1886
12/20/2021,7.830950268,"29,286",25394.42857,682565.8371
12/19/2021,7.201670077,"20,400",24192.57143,627716.1515
12/18/2021,6.535201045,"22,450",22904.28571,569624.9905
12/17/2021,5.86611237,"24,277",21004.57143,511305.4946
12/16/2021,5.223482959,"26,906",18898.57143,455292.2566
12/15/2021,4.62877738,"27,787",16432.28571,403456.1834
12/14/2021,4.095409439,"26,655",13801.42857,356966.457
12/13/2021,3.629589615,"20,873",11210.71429,316364.3989
12/12/2021,3.231886295,"11,382",9395.714286,281699.551
12/11/2021,2.898977416,"9,152",8527.714286,252682.3538
12/10/2021,2.625231577,"9,535",7958.142857,228821.96
12/9/2021,2.403939107,"9,642",7437.857143,209533.5372
12/8/2021,2.228155234,"9,371",6966.428571,194211.7611
12/7/2021,2.091201842,"8,520",6609.571429,182274.55
12/6/2021,1.986909523,"8,168",6344,173184.1622
12/5/2021,1.909685208,"5,306",6130,166453.0917
12/4/2021,1.854478673,"5,165",5980.428571,161641.1476
12/3/2021,1.816704079,"5,893",5845.428571,158348.6165
12/2/2021,1.792156084,"6,342",5647.571429,156208.9499
12/1/2021,1.776945631,"6,873",5467,154883.1675
11/30/2021,1.767468728,"6,661",5237.142857,154057.1362
11/29/2021,1.760412105,"6,670",5023.142857,153442.0627
11/28/2021,1.752792336,"4,259",4825.285714,152777.904
11/27/2021,1.742019804,"4,220",4752.571429,151838.9423
11/26/2021,1.72597535,"4,508",4666.142857,150440.4663
11/25/2021,1.703085345,"5,078",4574.857143,148445.3143
11/24/2021,1.672380089,"5,264",4476.285714,145768.965
11/23/2021,1.633521144,"5,163",4355,142381.9191
11/22/2021,1.586786117,"5,285",4238.285714,138308.3734
11/21/2021,1.533005014,"3,750",4199.857143,133620.6738
11/20/2021,1.473450256,"3,615",4118.285714,128429.7273
11/19/2021,1.4,"3,869",4054.714286,122027.6134
11/18/2021,1.36,"4,388",4013.714286,118541.1102
11/17/2021,1.32,"4,415",3936,115054.6069
11/16/2021,1.29,"4,346",3881,112439.7295
11/15/2021,1.26,"5,016",3818.857143,109824.8521
11/14/2021,1.24,"3,179",3657,108081.6005
